First Name,Last Name,Phone,Address,City,State,Zip
John,Doe,5085555555,23 Main Street,Bristol,RI,02809
Jane,Doe,5085565566,23 Main Street,Bristol,RI,20809
Jason,Demanes,5557678894,52 Oak Road,Portsmouth,RI,02871
Erica,Exampel,4545567778,136 Table Lane,New Bedford,MS,02740
Herbert, herbeson, 5175861123, 9967 West Bridgeton Drive, Pearl, MS, 39208
Turd, Fergeson, 6254423625,  82 South Brewery Drive, Taylor, MI, 48180
Happy, Golucky, 4565552525, 23 Fairfield Lane, Newport News, VA, 23601
Fridicka, Clamsnacks, 5554446262, 800 Creppit Drive, Newbrunswick, NH, 25656
Perd, Hapley, 5558986623, 391 Thurston Place, Henly, SC, 44456
Trevor, Tenpence, 4445586565, 2223 Mcdonalds Path, cold pants, ND, 22135
FrenchFries, McGravy, 5558896969, 123 Powderpuff Lane, HorsePaint, NH, 85023
Chauncy, Fizzwinks, 5552225258, 1 Longroad Lane, Paris, France, 666556
Horrace, LongBottoms, 9999999991, 42 SecretToEverything Avenue, Wonder, Land, 00001
Winston, Whimsy, 8678565309, 777 Glasshouse Road, PotatoPancakes, OH, 45685
Red, Pop, 5178675306, 8675309 JennyJenny Lane, Florance, IT, 85632
